,fp,county,state,never,rarely,sometimes,frequently,always,county.cases,county.deaths,pop
350,19017,Calhoun,Iowa,0.048,0.062,0.197,0.268,0.424,278,1,
394,19019,Carroll,Iowa,0.021,0.124,0.087,0.394,0.373,1109,27,
416,19021,Cass,Iowa,0.183,0.062,0.26,0.207,0.288,1070,23,
436,19023,Cedar,Iowa,0.052,0.094,0.208,0.23,0.417,1146,14,
440,19025,Cerro Gordo,Iowa,0.212,0.117,0.213,0.153,0.304,3732,52,
472,19027,Cherokee,Iowa,0.153,0.11,0.241,0.139,0.358,967,4,
489,19029,Chickasaw,Iowa,0.341,0.07,0.124,0.238,0.227,919,5,
533,19031,Clarke,Iowa,0.026,0.096,0.142,0.355,0.381,506,4,
541,19033,Clay,Iowa,0.061,0.365,0.146,0.213,0.215,936,22,
556,19035,Clayton,Iowa,0.183,0.105,0.221,0.182,0.309,1155,10,
568,19037,Clinton,Iowa,0.075,0.136,0.197,0.236,0.356,3491,63,
656,19039,Crawford,Iowa,0.078,0.167,0.143,0.194,0.418,1180,14,
709,19041,Dallas,Iowa,0.224,0.035,0.112,0.189,0.441,6612,60,
725,19043,Davis,Iowa,0.123,0.084,0.137,0.284,0.371,483,9,
748,19045,Decatur,Iowa,0.092,0.13,0.079,0.269,0.43,5368,49,
755,19047,Delaware,Iowa,0.089,0.045,0.141,0.064,0.66,393,6,
768,19049,Des Moines,Iowa,0.036,0.102,0.118,0.26,0.485,610,8,
779,19051,Dickinson,Iowa,0.038,0.101,0.249,0.201,0.411,1458,12,
819,19053,Dubuque,Iowa,0.248,0.132,0.258,0.068,0.294,9479,99,
872,19055,Emmet,Iowa,0.035,0.137,0.137,0.408,0.283,360,4,
911,19057,Fayette,Iowa,0.135,0.081,0.109,0.122,0.553,3468,63,
933,19059,Floyd,Iowa,0.276,0.027,0.091,0.173,0.433,5816,88,
955,19061,Franklin,Iowa,0.037,0.155,0.189,0.189,0.43,1295,23,
983,19063,Fremont,Iowa,0.241,0.083,0.067,0.181,0.428,3076,7,
1109,19065,Greene,Iowa,0.054,0.075,0.128,0.349,0.394,759,28,
1132,19067,Grundy,Iowa,0.063,0.271,0.148,0.25,0.268,1405,40,
1142,19069,Guthrie,Iowa,0.088,0.278,0.187,0.186,0.261,491,7,
1156,19071,Hamilton,Iowa,0.048,0.061,0.071,0.209,0.611,1006,11,
1172,19073,Hancock,Iowa,0.116,0.141,0.235,0.153,0.354,534,47,
1189,19075,Hardin,Iowa,0.038,0.042,0.203,0.238,0.48,108,4,
1208,19077,Harrison,Iowa,0.162,0.073,0.143,0.283,0.34,194899,3032,
1245,19079,Henry,Iowa,0.143,0.118,0.129,0.153,0.457,9192,140,
1299,19081,Howard,Iowa,0.08,0.384,0.146,0.174,0.216,844,15,
1313,19083,Humboldt,Iowa,0.074,0.075,0.195,0.214,0.441,993,9,
1329,19085,Ida,Iowa,0.118,0.044,0.094,0.178,0.565,2113,65,
1339,19087,Iowa,Iowa,0.123,0.142,0.091,0.183,0.461,833,27,
1363,19089,Jackson,Iowa,0.077,0.151,0.176,0.183,0.413,3592,58,
1384,19091,Jasper,Iowa,0.243,0.268,0.147,0.102,0.24,520,7,
1399,19093,Jefferson,Iowa,0.153,0.094,0.246,0.128,0.38,1028,40,
1434,19095,Johnson,Iowa,0.027,0.149,0.135,0.239,0.45,533,31,
1447,19097,Jones,Iowa,0.032,0.096,0.229,0.232,0.411,825,21,
1486,19099,Keokuk,Iowa,0.102,0.105,0.233,0.212,0.347,6024,64,
1531,19101,Kossuth,Iowa,0.074,0.116,0.221,0.191,0.398,5149,50,
1618,19103,Lee,Iowa,0.014,0.044,0.069,0.2,0.673,1029,33,
1678,19105,Linn,Iowa,0.04,0.105,0.165,0.336,0.355,677,6,
1710,19107,Louisa,Iowa,0.035,0.126,0.287,0.28,0.272,10376,150,
1719,19109,Lucas,Iowa,0.135,0.318,0.101,0.173,0.272,33864,381,
1730,19111,Lyon,Iowa,0.17,0.146,0.131,0.161,0.392,395,10,
1749,19113,Madison,Iowa,0.039,0.081,0.115,0.201,0.563,1231,19,
1766,19115,Mahaska,Iowa,0.097,0.058,0.15,0.214,0.482,544,1,
1786,19117,Marion,Iowa,0.032,0.204,0.196,0.185,0.384,253,10,
1804,19119,Marshall,Iowa,0.078,0.173,0.157,0.247,0.344,6750,58,
1918,19121,Mills,Iowa,0.01,0.102,0.136,0.268,0.484,1576,26,
1934,19123,Mitchell,Iowa,0.069,0.067,0.294,0.283,0.287,1023,50,
1945,19125,Monona,Iowa,0.053,0.049,0.209,0.26,0.429,520,3,
1951,19127,Monroe,Iowa,0.077,0.064,0.153,0.226,0.48,1103,61,
1971,19129,Montgomery,Iowa,0.064,0.084,0.091,0.281,0.481,437,10,
2024,19131,Muscatine,Iowa,0.046,0.282,0.149,0.26,0.263,674,6,
2099,19133,O Brien,Iowa,0.078,0.069,0.087,0.127,0.64,1382,28,
2150,19135,Osceola,Iowa,0.034,0.078,0.256,0.247,0.385,98,0,
2177,19137,Page,Iowa,0.218,0.034,0.084,0.378,0.286,5560,41,
2180,19139,Palo Alto,Iowa,0.12,0.022,0.221,0.273,0.364,605,33,
2280,19141,Plymouth,Iowa,0.173,0.054,0.267,0.187,0.319,111,4,
2282,19143,Pocahontas,Iowa,0.195,0.051,0.233,0.199,0.322,2870,44,
2289,19145,Polk,Iowa,0.088,0.053,0.068,0.31,0.481,28399,691,
2312,19147,Pottawattamie,Iowa,0.199,0.116,0.088,0.179,0.419,703,2,
2320,19149,Poweshiek,Iowa,0.125,0.145,0.166,0.162,0.402,720,3,
2416,19151,Ringgold,Iowa,0.214,0.124,0.162,0.165,0.335,6840,82,
2473,19153,Sac,Iowa,0.044,0.089,0.136,0.259,0.473,1600,21,
2538,19155,Scott,Iowa,0.115,0.083,0.147,0.264,0.39,2039,42,
2577,19157,Shelby,Iowa,0.121,0.145,0.187,0.164,0.383,11102,78,
2604,19159,Sioux,Iowa,0.144,0.138,0.281,0.162,0.275,1551,53,
2700,19161,Story,Iowa,0.18,0.071,0.286,0.159,0.303,59,2,
2746,19163,Tama,Iowa,0.075,0.027,0.126,0.277,0.494,1902,91,
2755,19165,Taylor,Iowa,0.099,0.059,0.182,0.145,0.516,414,13,
2844,19167,Union,Iowa,0.12,0.06,0.285,0.2,0.335,1124,36,
2872,19169,Van Buren,Iowa,0.045,0.075,0.071,0.235,0.574,422,4,
2916,19171,Wapello,Iowa,0.066,0.053,0.209,0.181,0.491,7246,57,
2921,19173,Warren,Iowa,0.09,0.151,0.185,0.282,0.292,220,8,
2946,19175,Washington,Iowa,0.03,0.125,0.172,0.21,0.462,794,12,
2981,19177,Wayne,Iowa,0.107,0.128,0.175,0.218,0.372,968,33,
3001,19179,Webster,Iowa,0.034,0.082,0.293,0.221,0.37,3783,39,
3069,19181,Winnebago,Iowa,0.055,0.182,0.181,0.245,0.337,19765,284,
3072,19183,Winneshiek,Iowa,0.035,0.102,0.123,0.151,0.589,1055,13,
3084,19185,Woodbury,Iowa,0.138,0.148,0.252,0.12,0.342,10764,137,
3094,19187,Worth,Iowa,0.209,0.167,0.161,0.101,0.362,388,1,
3097,19189,Wright,Iowa,0.07,0.329,0.176,0.197,0.228,1310,7,
48,19191,Allen,Kansas,0.122,0.044,0.151,0.177,0.505,402,1,
60,19193,Anderson,Kansas,0.113,0.165,0.137,0.16,0.425,402,0,
98,19195,Atchison,Kansas,0.072,0.271,0.175,0.231,0.251,908,9,
131,19197,Barber,Kansas,0.172,0.299,0.173,0.125,0.232,201,2,
143,20001,Barton,Kansas,0.153,0.212,0.126,0.167,0.341,1742,13,
247,20003,Bourbon,Kansas,0.189,0.063,0.137,0.267,0.344,609,3,
285,20005,Brown,Kansas,0.137,0.122,0.169,0.256,0.316,795,11,
323,20007,Butler,Kansas,0.069,0.147,0.118,0.329,0.336,3559,11,
456,20009,Chase,Kansas,0.107,0.131,0.12,0.211,0.43,187,3,
462,20011,Chautauqua,Kansas,0.167,0.146,0.077,0.12,0.49,94,1,
473,20013,Cherokee,Kansas,0.089,0.149,0.183,0.197,0.382,1206,10,
487,20015,Cheyenne,Kansas,0.053,0.133,0.122,0.222,0.47,218,9,
523,20017,Clark,Kansas,0.151,0.082,0.212,0.225,0.331,145,4,
544,20019,Clay,Kansas,0.128,0.137,0.185,0.214,0.337,453,11,
577,20021,Cloud,Kansas,0.131,0.121,0.164,0.174,0.41,641,2,
589,20023,Coffey,Kansas,0.065,0.27,0.174,0.235,0.256,323,10,
616,20025,Comanche,Kansas,0.163,0.13,0.126,0.232,0.348,85,0,
647,20027,Cowley,Kansas,0.081,0.069,0.115,0.229,0.507,1684,9,
659,20029,Crawford,Kansas,0.154,0.077,0.118,0.217,0.434,2507,18,
750,20031,Decatur,Kansas,0.085,0.119,0.165,0.404,0.227,621,15,
780,20033,Dickinson,Kansas,0.112,0.144,0.128,0.271,0.346,771,10,
797,20035,Doniphan,Kansas,0.075,0.093,0.28,0.131,0.421,25,0,
807,20037,Douglas,Kansas,0.108,0.143,0.118,0.139,0.492,1447,18,
850,20039,Edwards,Kansas,0.163,0.118,0.211,0.235,0.273,242,3,
859,20041,Elk,Kansas,0.106,0.118,0.148,0.243,0.385,1254,27,
864,20043,Ellis,Kansas,0.137,0.193,0.184,0.214,0.272,650,0,
867,20045,Ellsworth,Kansas,0.006,0.009,0.024,0.227,0.734,7755,118,
925,20047,Finney,Kansas,0.052,0.086,0.135,0.221,0.506,354,4,
942,20049,Ford,Kansas,0.061,0.05,0.295,0.282,0.312,820,24,
959,20051,Franklin,Kansas,0.154,0.154,0.224,0.148,0.32,764,21,
1022,20053,Geary,Kansas,0.174,0.133,0.133,0.187,0.373,224,7,
1062,20055,Gove,Kansas,0.166,0.089,0.163,0.239,0.343,112,1,
1067,20057,Graham,Kansas,0.143,0.084,0.143,0.232,0.399,2281,35,
1078,20059,Grant,Kansas,0.063,0.06,0.159,0.354,0.364,3690,56,
1094,20061,Gray,Kansas,0.05,0.068,0.113,0.27,0.499,1975,39,
1100,20063,Greeley,Kansas,0.24,0.089,0.234,0.151,0.287,542,22,
1124,20065,Greenwood,Kansas,0.218,0.156,0.247,0.129,0.25,24728,416,
1159,20067,Hamilton,Kansas,0.14,0.108,0.15,0.231,0.37,1195,14,
1204,20069,Harper,Kansas,0.158,0.092,0.146,0.24,0.364,105,1,
1221,20071,Harvey,Kansas,0.135,0.131,0.181,0.229,0.323,209,2,
1222,20073,Haskell,Kansas,0.034,0.079,0.256,0.302,0.33,1911,17,
1275,20075,Hodgeman,Kansas,0.131,0.095,0.189,0.217,0.368,1389,57,
1366,20077,Jackson,Kansas,0.079,0.118,0.21,0.193,0.4,1511,17,
1403,20079,Jefferson,Kansas,0.075,0.058,0.121,0.323,0.423,763,5,
1428,20081,Jewell,Kansas,0.153,0.107,0.137,0.239,0.364,1935,34,
1437,20083,Johnson,Kansas,0.126,0.075,0.163,0.225,0.412,9855,39,
1471,20085,Kearny,Kansas,0.01,0.116,0.161,0.136,0.577,508,1,
1503,20087,Kingman,Kansas,0.026,0.069,0.09,0.182,0.634,942,7,
1508,20089,Kiowa,Kansas,0.171,0.142,0.087,0.259,0.34,26,0,
1541,20091,Labette,Kansas,0.029,0.019,0.075,0.224,0.654,271,3,
1578,20093,Lane,Kansas,0.155,0.098,0.172,0.229,0.346,1662,36,
1612,20095,Leavenworth,Kansas,0.081,0.212,0.114,0.128,0.464,1433,44,
1658,20097,Lincoln,Kansas,0.062,0.107,0.128,0.233,0.469,367,8,
1679,20099,Linn,Kansas,0.168,0.123,0.091,0.147,0.471,14788,169,
1696,20101,Logan,Kansas,0.197,0.075,0.197,0.204,0.326,1886,22,
1731,20103,Lyon,Kansas,0.087,0.135,0.092,0.142,0.544,1076,9,
1789,20107,Marion,Kansas,0.14,0.053,0.121,0.285,0.4,2119,22,
1807,20109,Marshall,Kansas,0.206,0.131,0.194,0.189,0.28,3609,50,
1865,20105,McPherson,Kansas,0.171,0.132,0.16,0.163,0.375,1437,34,
1868,20111,Meade,Kansas,0.113,0.111,0.133,0.3,0.344,153,1,
1902,20113,Miami,Kansas,0.12,0.065,0.106,0.313,0.396,1917,18,
1935,20115,Mitchell,Kansas,0.101,0.068,0.209,0.279,0.343,842,9,
1974,20117,Montgomery,Kansas,0.048,0.049,0.233,0.263,0.407,514,11,
2007,20119,Morris,Kansas,0.164,0.123,0.115,0.235,0.362,358,4,
2013,20121,Morton,Kansas,0.071,0.044,0.095,0.25,0.54,675,7,
2044,20123,Nemaha,Kansas,0.173,0.116,0.144,0.18,0.388,192,3,
2046,20125,Neosho,Kansas,0.164,0.132,0.102,0.195,0.407,351,0,
2048,20127,Ness,Kansas,0.11,0.094,0.148,0.244,0.404,2311,122,
2091,20129,Norton,Kansas,0.12,0.113,0.144,0.218,0.405,364,0,
2145,20131,Osage,Kansas,0.035,0.094,0.203,0.236,0.432,652,58,
2148,20133,Osborne,Kansas,0.133,0.204,0.12,0.127,0.416,973,4,
2159,20135,Ottawa,Kansas,0.15,0.083,0.199,0.198,0.371,920,19,
2197,20137,Pawnee,Kansas,0.161,0.163,0.177,0.225,0.275,5479,86,
2239,20139,Phillips,Kansas,0.018,0.09,0.088,0.24,0.564,980,17,
2310,20141,Pottawatomie,Kansas,0.174,0.233,0.163,0.136,0.293,3246,71,
2324,20143,Pratt,Kansas,0.131,0.117,0.164,0.191,0.396,373,8,
2382,20145,Rawlins,Kansas,0.053,0.096,0.137,0.217,0.497,98,2,
2393,20147,Reno,Kansas,0.15,0.244,0.126,0.19,0.29,724,14,
2397,20149,Republic,Kansas,0.012,0.057,0.145,0.236,0.55,955,30,
2400,20151,Rice,Kansas,0.02,0.183,0.101,0.309,0.387,313,2,
2415,20153,Riley,Kansas,0.128,0.174,0.209,0.22,0.268,465,6,
2449,20155,Rooks,Kansas,0.135,0.077,0.143,0.191,0.454,4272,66,
2461,20157,Rush,Kansas,0.183,0.073,0.076,0.295,0.373,402,11,
2465,20159,Russell,Kansas,0.153,0.086,0.11,0.241,0.41,943,7,
2482,20161,Saline,Kansas,0.03,0.05,0.124,0.261,0.535,5200,59,
2541,20163,Scott,Kansas,0.179,0.22,0.218,0.123,0.26,1305,27,
2554,20165,Sedgwick,Kansas,0.11,0.122,0.182,0.183,0.403,7300,119,
2565,20167,Seward,Kansas,0.16,0.174,0.174,0.157,0.335,5287,35,
2574,20169,Shawnee,Kansas,0.126,0.133,0.175,0.209,0.357,3927,54,
2587,20171,Sheridan,Kansas,0.197,0.09,0.19,0.21,0.313,6187,46,
2592,20173,Sherman,Kansas,0.06,0.055,0.126,0.26,0.499,2094,11,
2613,20175,Smith,Kansas,0.138,0.14,0.092,0.226,0.403,19,0,
2663,20177,Stafford,Kansas,0.009,0.078,0.095,0.184,0.633,10983,296,
2668,20179,Stanton,Kansas,0.231,0.112,0.236,0.154,0.267,3104,78,
2687,20181,Stevens,Kansas,0.1,0.27,0.159,0.24,0.231,1898,89,
2718,20183,Sumner,Kansas,0.142,0.257,0.088,0.195,0.319,2331,5,
2777,20185,Thomas,Kansas,0.041,0.125,0.109,0.252,0.472,2004,81,
2810,20187,Trego,Kansas,0.127,0.098,0.172,0.216,0.388,32,1,
2896,20189,Wabaunsee,Kansas,0.122,0.132,0.112,0.225,0.408,1130,1,
2907,20191,Wallace,Kansas,0.104,0.039,0.115,0.298,0.444,2389,30,
2950,20193,Washington,Kansas,0.188,0.157,0.208,0.184,0.263,327,6,
3039,20195,Wichita,Kansas,0.203,0.115,0.256,0.137,0.291,156,0,
3059,20197,Wilson,Kansas,0.011,0.077,0.12,0.201,0.591,340,4,
3089,20199,Woodson,Kansas,0.128,0.21,0.154,0.246,0.262,70,0,
3101,20201,Wyandotte,Kansas,0.148,0.075,0.111,0.234,0.432,11781,183,
6,20203,Adair,Kentucky,0.173,0.112,0.184,0.219,0.313,1028,34,
49,20205,Allen,Kentucky,0.125,0.148,0.145,0.184,0.398,776,16,
61,20207,Anderson,Kentucky,0.092,0.175,0.171,0.247,0.314,561,1,
122,20209,Ballard,Kentucky,0.025,0.056,0.076,0.178,0.665,166,2,
137,21001,Barren,Kentucky,0.076,0.115,0.167,0.243,0.399,2135,31,
148,21003,Bath,Kentucky,0.101,0.072,0.097,0.211,0.519,294,1,
171,21005,Bell,Kentucky,0.062,0.01,0.044,0.483,0.401,1312,20,
236,21007,Boone,Kentucky,0.107,0.033,0.198,0.257,0.404,5213,32,
248,21009,Bourbon,Kentucky,0.053,0.093,0.09,0.176,0.588,587,1,
253,21011,Boyd,Kentucky,0.076,0.058,0.084,0.339,0.443,1890,25,
255,21013,Boyle,Kentucky,0.146,0.094,0.12,0.199,0.44,1098,0,
256,21015,Bracken,Kentucky,0.08,0.087,0.081,0.232,0.52,176,3,
266,21017,Breathitt,Kentucky,0.024,0.037,0.042,0.129,0.769,374,3,
267,21019,Breckinridge,Kentucky,0.084,0.125,0.202,0.235,0.354,452,4,
307,21021,Bullitt,Kentucky,0.092,0.037,0.112,0.161,0.598,3094,22,
324,21023,Butler,Kentucky,0.056,0.249,0.065,0.238,0.392,625,16,
340,21025,Caldwell,Kentucky,0.114,0.081,0.126,0.241,0.438,616,7,
359,21027,Calloway,Kentucky,0.023,0.146,0.177,0.138,0.517,1848,17,
372,21029,Campbell,Kentucky,0.037,0.091,0.156,0.181,0.535,3232,23,
388,21031,Carlisle,Kentucky,0.066,0.097,0.133,0.17,0.535,214,1,
397,21033,Carroll,Kentucky,0.059,0.067,0.26,0.177,0.438,367,6,
407,21035,Carter,Kentucky,0.066,0.084,0.248,0.17,0.432,831,5,
415,21037,Casey,Kentucky,0.073,0.085,0.134,0.278,0.43,681,21,
505,21039,Christian,Kentucky,0.104,0.045,0.188,0.236,0.428,3151,49,
524,21041,Clark,Kentucky,0.155,0.171,0.12,0.208,0.346,1012,12,
545,21043,Clay,Kentucky,0.069,0.102,0.122,0.324,0.383,1122,8,
571,21045,Clinton,Kentucky,0.164,0.076,0.161,0.154,0.444,543,15,
669,21047,Crittenden,Kentucky,0.06,0.118,0.178,0.279,0.365,254,2,
682,21049,Cumberland,Kentucky,0.083,0.093,0.11,0.233,0.48,313,2,
723,21051,Daviess,Kentucky,0.153,0.082,0.165,0.16,0.44,3848,54,
847,21053,Edmonson,Kentucky,0.096,0.115,0.248,0.165,0.375,1197,24,
863,21055,Elliott,Kentucky,0.121,0.117,0.29,0.153,0.319,2967,19,
888,21057,Estill,Kentucky,0.067,0.106,0.224,0.229,0.374,258,2,
914,21059,Fayette,Kentucky,0.055,0.057,0.122,0.236,0.531,1098,12,
929,21061,Fleming,Kentucky,0.055,0.057,0.086,0.179,0.624,7097,39,
935,21063,Floyd,Kentucky,0.117,0.1,0.051,0.289,0.443,1119,21,
960,21065,Franklin,Kentucky,0.082,0.151,0.09,0.275,0.402,1146,17,
993,21067,Fulton,Kentucky,0.031,0.051,0.066,0.202,0.65,966,19,
1003,21069,Gallatin,Kentucky,0.068,0.069,0.075,0.287,0.502,213,3,
1015,21071,Garrard,Kentucky,0.131,0.066,0.129,0.134,0.54,4005,105,
1079,21073,Grant,Kentucky,0.088,0.036,0.142,0.214,0.521,791,12,
1093,21075,Graves,Kentucky,0.1,0.102,0.202,0.217,0.38,2116,36,
1097,21077,Grayson,Kentucky,0.076,0.048,0.198,0.211,0.466,1063,20,
1102,21079,Green,Kentucky,0.077,0.043,0.063,0.276,0.54,129,0,
1122,21081,Greenup,Kentucky,0.047,0.056,0.183,0.106,0.608,938,16,
1175,21083,Hancock,Kentucky,0.103,0.069,0.266,0.222,0.34,914,8,
1191,21085,Hardin,Kentucky,0.043,0.042,0.134,0.154,0.627,1228,12,
1199,21087,Harlan,Kentucky,0.063,0.076,0.127,0.247,0.488,6298,106,
1210,21089,Harrison,Kentucky,0.092,0.101,0.236,0.228,0.342,1134,32,
1218,21091,Hart,Kentucky,0.019,0.08,0.121,0.235,0.546,905,29,
1235,21093,Henderson,Kentucky,0.057,0.062,0.106,0.217,0.558,306,1,
1248,21095,Henry,Kentucky,0.076,0.093,0.098,0.126,0.606,1937,7,
1257,21097,Hickman,Kentucky,0.073,0.044,0.031,0.047,0.804,247,3,
1287,21099,Hopkins,Kentucky,0.053,0.034,0.118,0.185,0.61,630,9,
1367,21101,Jackson,Kentucky,0.072,0.061,0.136,0.229,0.501,735,9,
1404,21103,Jefferson,Kentucky,0.093,0.082,0.174,0.254,0.398,784,8,
1427,21105,Jessamine,Kentucky,0.097,0.065,0.221,0.202,0.415,1384,24,
1438,21107,Johnson,Kentucky,0.04,0.067,0.174,0.217,0.502,28078,294,
1485,21109,Kenton,Kentucky,0.183,0.068,0.092,0.235,0.421,26,1,
1517,21111,Knott,Kentucky,0.036,0.048,0.083,0.23,0.602,281,3,
1520,21113,Knox,Kentucky,0.022,0.036,0.104,0.21,0.628,2123,22,
1585,21115,Larue,Kentucky,0.102,0.053,0.106,0.127,0.612,280,1,
1593,21117,Laurel,Kentucky,0.052,0.056,0.146,0.245,0.5,2131,23,
1601,21119,Lawrence,Kentucky,0.157,0.073,0.13,0.142,0.497,2061,53,
1620,21121,Lee,Kentucky,0.187,0.073,0.103,0.165,0.471,2287,19,
1634,21123,Leslie,Kentucky,0.074,0.053,0.09,0.213,0.57,453,16,
1635,21125,Letcher,Kentucky,0.201,0.047,0.083,0.152,0.517,314,1,
1638,21127,Lewis,Kentucky,0.155,0.091,0.151,0.125,0.479,221,4,
1659,21129,Lincoln,Kentucky,0.129,0.069,0.129,0.273,0.399,98,1,
1687,21131,Livingston,Kentucky,0.094,0.103,0.142,0.174,0.487,2387,38,
1697,21133,Logan,Kentucky,0.078,0.05,0.127,0.122,0.624,241,0,
1732,21135,Lyon,Kentucky,0.057,0.081,0.21,0.296,0.357,2725,50,
1753,21143,Madison,Kentucky,0.052,0.11,0.316,0.138,0.384,727,5,
1765,21145,Magoffin,Kentucky,0.085,0.058,0.232,0.255,0.37,194,4,
1790,21147,Marion,Kentucky,0.096,0.116,0.143,0.203,0.441,468,1,
1808,21149,Marshall,Kentucky,0.081,0.105,0.107,0.249,0.459,667,10,
1817,21151,Martin,Kentucky,0.088,0.094,0.114,0.233,0.471,401,6,
1823,21153,Mason,Kentucky,0.107,0.078,0.111,0.164,0.54,777,23,
1840,21137,McCracken,Kentucky,0.172,0.054,0.093,0.172,0.509,346,8,
1841,21139,McCreary,Kentucky,0.08,0.1,0.29,0.191,0.339,3145,29,
1858,21141,McLean,Kentucky,0.099,0.1,0.08,0.198,0.523,8961,59,
1869,21155,Meade,Kentucky,0.046,0.082,0.074,0.144,0.654,320,4,
1884,21157,Menifee,Kentucky,0.061,0.083,0.28,0.18,0.395,1671,23,
1889,21159,Mercer,Kentucky,0.108,0.055,0.096,0.104,0.637,800,12,
1900,21161,Metcalfe,Kentucky,0.056,0.119,0.061,0.284,0.479,6304,72,
1954,21163,Monroe,Kentucky,0.018,0.154,0.115,0.154,0.559,451,13,
1975,21165,Montgomery,Kentucky,0.161,0.088,0.067,0.215,0.468,1225,6,
2000,21167,Morgan,Kentucky,0.047,0.012,0.178,0.195,0.567,2605,50,
2019,21169,Muhlenberg,Kentucky,0.048,0.109,0.134,0.222,0.487,2748,23,
2041,21171,Nelson,Kentucky,0.082,0.134,0.185,0.15,0.448,2769,45,
2070,21173,Nicholas,Kentucky,0.03,0.041,0.085,0.392,0.452,4296,112,
2112,21175,Ohio,Kentucky,0.133,0.116,0.071,0.182,0.498,589,14,
2121,21177,Oldham,Kentucky,0.035,0.154,0.123,0.2,0.488,1868,22,
2170,21179,Owen,Kentucky,0.033,0.106,0.068,0.244,0.548,1577,36,
2171,21181,Owsley,Kentucky,0.023,0.025,0.09,0.271,0.591,723,11,
2209,21183,Pendleton,Kentucky,0.064,0.145,0.109,0.19,0.492,273,3,
2223,21185,Perry,Kentucky,0.025,0.039,0.098,0.278,0.56,1184,31,
2257,21187,Pike,Kentucky,0.091,0.039,0.114,0.198,0.558,1063,31,
2317,21189,Powell,Kentucky,0.121,0.058,0.157,0.282,0.382,13326,218,
2343,21191,Pulaski,Kentucky,0.035,0.121,0.103,0.129,0.613,451,2,
2430,21193,Robertson,Kentucky,0.123,0.093,0.111,0.171,0.502,750,20,
2439,21195,Rockcastle,Kentucky,0.096,0.088,0.123,0.148,0.545,8981,164,
2457,21197,Rowan,Kentucky,0.112,0.099,0.102,0.232,0.455,2787,66,
2466,21199,Russell,Kentucky,0.13,0.123,0.096,0.164,0.487,2315,3,
2542,21201,Scott,Kentucky,0.048,0.123,0.039,0.204,0.586,11847,92,
2580,21203,Shelby,Kentucky,0.215,0.079,0.075,0.157,0.474,805,11,
2602,21205,Simpson,Kentucky,0.159,0.097,0.047,0.231,0.467,2299,30,
2633,21207,Spencer,Kentucky,0.096,0.138,0.195,0.206,0.365,970,8,
2756,21209,Taylor,Kentucky,0.04,0.044,0.076,0.081,0.759,483,3,
2793,21211,Todd,Kentucky,0.092,0.107,0.054,0.261,0.487,1826,41,
2813,21213,Trigg,Kentucky,0.137,0.066,0.162,0.208,0.426,388,15,
2814,21215,Trimble,Kentucky,0.032,0.058,0.047,0.41,0.453,426,2,
2847,21217,Union,Kentucky,0.073,0.073,0.111,0.21,0.533,843,7,
2924,21219,Warren,Kentucky,0.058,0.147,0.135,0.266,0.394,2941,15,
2951,21221,Washington,Kentucky,0.066,0.053,0.131,0.152,0.597,592,4,
2984,21223,Wayne,Kentucky,0.134,0.172,0.135,0.217,0.342,744,5,
3002,21225,Webster,Kentucky,0.211,0.079,0.229,0.172,0.309,587,7,
3036,21227,Whitley,Kentucky,0.076,0.067,0.063,0.185,0.609,1646,8,
3079,21229,Wolfe,Kentucky,0.035,0.066,0.116,0.221,0.562,202,1,
3086,21231,Woodford,Kentucky,0.102,0.151,0.16,0.169,0.417,861,1,
2,21233,Acadia,Louisiana,0.088,0.084,0.167,0.21,0.451,4129,118,
50,21235,Allen,Louisiana,0.176,0.062,0.113,0.174,0.476,2137,68,
89,21237,Ascension,Louisiana,0.14,0.095,0.114,0.203,0.448,5927,108,
96,21239,Assumption,Louisiana,0.042,0.017,0.049,0.193,0.698,1046,25,
113,22001,Avoyelles,Louisiana,0.122,0.111,0.138,0.265,0.362,2196,70,
159,22003,Beauregard,Louisiana,0.196,0.07,0.118,0.2,0.416,1442,50,
204,22005,Bienville,Louisiana,0.049,0.092,0.142,0.148,0.569,830,37,
242,22007,Bossier,Louisiana,0.079,0.034,0.213,0.206,0.468,6596,158,
336,22009,Caddo,Louisiana,0.13,0.092,0.073,0.246,0.459,14090,448,
339,22011,Calcasieu,Louisiana,0.086,0.069,0.169,0.191,0.486,10856,252,
341,22013,Caldwell,Louisiana,0.078,0.052,0.17,0.291,0.409,674,10,
368,22015,Cameron,Louisiana,0.068,0.096,0.144,0.225,0.468,304,3,
428,22017,Catahoula,Louisiana,0.058,0.079,0.158,0.209,0.497,655,18,
512,22019,Claiborne,Louisiana,0.102,0.139,0.077,0.212,0.471,769,32,
620,22021,Concordia,Louisiana,0.102,0.061,0.098,0.241,0.498,1052,30,
742,22023,De Soto,Louisiana,0.089,0.127,0.079,0.201,0.505,201,1,
834,22025,East Baton Rouge,Louisiana,0.11,0.056,0.086,0.147,0.6,704,37,
835,22027,East Carroll,Louisiana,0.146,0.068,0.04,0.273,0.473,20746,520,
836,22029,East Feliciana,Louisiana,0.11,0.104,0.112,0.095,0.579,820,10,
891,22031,Evangeline,Louisiana,0.035,0.075,0.132,0.162,0.596,22,0,
961,22033,Franklin,Louisiana,0.052,0.031,0.09,0.183,0.642,1512,16,
1080,22035,Grant,Louisiana,0.022,0.046,0.121,0.137,0.674,766,6,
1327,22037,Iberia,Louisiana,0.067,0.053,0.095,0.366,0.42,125,0,
