fp,county,state,never,rarely,sometimes,frequently,always
39175,Atoka,OK,0.1,0.201,0.138,0.135,0.426
27173,Attala,MS,0.122,0.096,0.254,0.202,0.326
28163,Audrain,MO,0.05,0.038,0.145,0.159,0.608
19001,Audubon,IA,0.073,0.128,0.128,0.307,0.364
39005,Auglaize,OH,0.068,0.035,0.268,0.19,0.438
51009,Augusta,VA,0.064,0.033,0.074,0.204,0.625
45087,Aurora,SD,0.14,0.02,0.074,0.305,0.462
48009,Austin,TX,0.081,0.053,0.099,0.091,0.676
1001,Autauga,AL,0.053,0.074,0.134,0.295,0.444
37005,Avery,NC,0.153,0.067,0.067,0.21,0.504
22001,Avoyelles,LA,0.122,0.111,0.138,0.265,0.362
8005,Baca,CO,0.013,0.026,0.065,0.193,0.703
12133,Bacon,GA,0.138,0.085,0.062,0.158,0.557
48011,Bailey,TX,0.08,0.066,0.116,0.25,0.488
10005,Baker,FL,0.005,0.001,0.035,0.103,0.856
13001,Baker,GA,0.085,0.117,0.23,0.152,0.416
40149,Baker,OR,0.024,0.256,0.243,0.164,0.313
1003,Baldwin,AL,0.083,0.059,0.098,0.323,0.436
13003,Baldwin,GA,0.059,0.1,0.179,0.217,0.445
20209,Ballard,KY,0.025,0.056,0.076,0.178,0.665
23029,Baltimore,MD,0.026,0.032,0.126,0.204,0.612
24041,Baltimore City,MD,0.012,0.012,0.006,0.127,0.843
45003,Bamberg,SC,0.1,0.086,0.116,0.193,0.505
48013,Bandera,TX,0.001,0.01,0.032,0.156,0.802
13005,Banks,GA,0.071,0.132,0.187,0.188,0.421
31001,Banner,NE,0.057,0.128,0.089,0.291,0.435
15007,Bannock,ID,0,0.021,0.046,0.108,0.825
26005,Baraga,MI,0.05,0.035,0.133,0.283,0.5
19197,Barber,KS,0.172,0.299,0.173,0.125,0.232
1005,Barbour,AL,0.067,0.121,0.12,0.201,0.491
54001,Barbour,WV,0.092,0.031,0.071,0.287,0.519
37197,Barnes,ND,0.073,0.027,0.08,0.199,0.621
24043,Barnstable,MA,0.031,0.047,0.085,0.194,0.642
45005,Barnwell,SC,0.172,0.211,0.012,0.22,0.384
21001,Barren,KY,0.076,0.115,0.167,0.243,0.399
